******HUMAN TURN******

POSSIBLE MOVEMENT : 0
******HUMAN RESULT******
RACK : 

HUMAN MOVE :  , new tiles :  , score : 0 , direction : 0 , col : 0 , row : 0


******COMPUTER TURN******
RACK : fwulxth

word : huff anchor( col :  7 row : 6 ) score : 13 new tiles : huf    Heuristic : 1.5
word : flu anchor( col :  8 row : 6 ) score : 11 new tiles : fu    Heuristic : -1
word : flux anchor( col :  8 row : 6 ) score : 19 new tiles : fux    Heuristic : 11.5
word : full anchor( col :  8 row : 6 ) score : 9 new tiles : ful    Heuristic : -1
word : wull anchor( col :  8 row : 6 ) score : 9 new tiles : wul    Heuristic : 1
word : hull anchor( col :  8 row : 6 ) score : 9 new tiles : hul    Heuristic : -3.5
word : full anchor( col :  8 row : 6 ) score : 8 new tiles : ful    Heuristic : -2
word : wull anchor( col :  8 row : 6 ) score : 8 new tiles : wul    Heuristic : 0
word : hull anchor( col :  8 row : 6 ) score : 8 new tiles : hul    Heuristic : -4.5
word : lux anchor( col :  9 row : 6 ) score : 21 new tiles : lx    Heuristic : 11.5
word : tux anchor( col :  9 row : 6 ) score : 21 new tiles : tx    Heuristic : 10.5
word : hut anchor( col :  9 row : 6 ) score : 13 new tiles : ht    Heuristic : -1.5
word : aft anchor( col :  11 row : 6 ) score : 7 new tiles : ft    Heuristic : -5
word : aw anchor( col :  11 row : 6 ) score : 5 new tiles : w    Heuristic : -6
word : awl anchor( col :  11 row : 6 ) score : 7 new tiles : wl    Heuristic : -2
word : auf anchor( col :  11 row : 6 ) score : 10 new tiles : uf    Heuristic : -2
word : al anchor( col :  11 row : 6 ) score : 2 new tiles : l    Heuristic : -12
word : alf anchor( col :  11 row : 6 ) score : 10 new tiles : lf    Heuristic : -1
word : alu anchor( col :  11 row : 6 ) score : 4 new tiles : lu    Heuristic : -9
word : alt anchor( col :  11 row : 6 ) score : 4 new tiles : lt    Heuristic : -9
word : ax anchor( col :  11 row : 6 ) score : 9 new tiles : x    Heuristic : -2.5
word : at anchor( col :  11 row : 6 ) score : 2 new tiles : t    Heuristic : -13
word : ah anchor( col :  11 row : 6 ) score : 5 new tiles : h    Heuristic : -10.5
word : flu anchor( col :  7 row : 8 ) score : 6 new tiles : lu    Heuristic : -7
word : flux anchor( col :  7 row : 8 ) score : 14 new tiles : lux    Heuristic : 5.5
word : lux anchor( col :  8 row : 8 ) score : 11 new tiles : ux    Heuristic : 0.5
word : ti anchor( col :  9 row : 8 ) score : 4 new tiles : t    Heuristic : -11
word : til anchor( col :  9 row : 8 ) score : 5 new tiles : tl    Heuristic : -8
word : tix anchor( col :  9 row : 8 ) score : 12 new tiles : tx    Heuristic : 1.5
word : hi anchor( col :  9 row : 8 ) score : 10 new tiles : h    Heuristic : -5.5
word : hilt anchor( col :  9 row : 8 ) score : 13 new tiles : hlt    Heuristic : 0.5
word : hit anchor( col :  9 row : 8 ) score : 11 new tiles : ht    Heuristic : -3.5
word : ulu anchor( col :  9 row : 8 ) score : 11 new tiles : lu    Heuristic : -2
word : ut anchor( col :  9 row : 8 ) score : 4 new tiles : t    Heuristic : -11
word : utu anchor( col :  9 row : 8 ) score : 11 new tiles : tu    Heuristic : -3
word : uh anchor( col :  9 row : 8 ) score : 10 new tiles : h    Heuristic : -5.5
word : if anchor( col :  11 row : 8 ) score : 5 new tiles : f    Heuristic : -8
word : it anchor( col :  11 row : 8 ) score : 2 new tiles : t    Heuristic : -13
word : un anchor( col :  9 row : 9 ) score : 4 new tiles : u    Heuristic : -11
word : fun anchor( col :  9 row : 9 ) score : 8 new tiles : fu    Heuristic : -4
word : lunt anchor( col :  9 row : 9 ) score : 6 new tiles : lut    Heuristic : -6
word : tun anchor( col :  9 row : 9 ) score : 5 new tiles : tu    Heuristic : -9
word : hun anchor( col :  9 row : 9 ) score : 8 new tiles : hu    Heuristic : -6.5
word : hunt anchor( col :  9 row : 9 ) score : 9 new tiles : hut    Heuristic : -4.5
word : nu anchor( col :  11 row : 9 ) score : 2 new tiles : u    Heuristic : -13
word : nut anchor( col :  11 row : 9 ) score : 3 new tiles : ut    Heuristic : -11
word : nth anchor( col :  11 row : 9 ) score : 6 new tiles : th    Heuristic : -8.5
