******HUMAN TURN******

******HUMAN RESULT******
RACK : ZKHPIE*

HUMAN MOVE : heap , new tiles : hpe* , score : 16 , direction : 2 , col : 7 , row : 11


******COMPUTER TURN******
RACK : avhdopr

word : xi anchor( col :  7 row : 4 ) score : 20 new tiles : xi    Heuristic : 8
word : ki anchor( col :  7 row : 4 ) score : 14 new tiles : ki    Heuristic : 1
word : pi anchor( col :  7 row : 4 ) score : 10 new tiles : pi    Heuristic : -4
word : di anchor( col :  7 row : 4 ) score : 8 new tiles : di    Heuristic : -7.5
word : our anchor( col :  10 row : 5 ) score : 3 new tiles : r    Heuristic : -12.5
word : ouk anchor( col :  10 row : 5 ) score : 7 new tiles : k    Heuristic : -4.5
word : oup anchor( col :  10 row : 5 ) score : 5 new tiles : p    Heuristic : -7.5
word : oud anchor( col :  10 row : 5 ) score : 4 new tiles : d    Heuristic : -10
word : var anchor( col :  6 row : 6 ) score : 23 new tiles : v    Heuristic : 14.5
word : par anchor( col :  6 row : 6 ) score : 19 new tiles : p    Heuristic : 6.5
word : vaw anchor( col :  6 row : 6 ) score : 23 new tiles : v    Heuristic : 14.5
word : paw anchor( col :  6 row : 6 ) score : 19 new tiles : p    Heuristic : 6.5
word : rah anchor( col :  5 row : 7 ) score : 6 new tiles : r    Heuristic : -9.5
word : pah anchor( col :  5 row : 7 ) score : 8 new tiles : p    Heuristic : -4.5
word : dah anchor( col :  5 row : 7 ) score : 7 new tiles : d    Heuristic : -7
word : wex anchor( col :  8 row : 8 ) score : 21 new tiles : x    Heuristic : 10.5
word : wed anchor( col :  8 row : 8 ) score : 9 new tiles : d    Heuristic : -5
word : ka anchor( col :  6 row : 9 ) score : 16 new tiles : k    Heuristic : 4.5
word : awk anchor( col :  6 row : 9 ) score : 16 new tiles : k    Heuristic : 4.5
word : ar anchor( col :  8 row : 9 ) score : 2 new tiles : r    Heuristic : -13.5
word : ax anchor( col :  8 row : 9 ) score : 9 new tiles : x    Heuristic : -1.5
word : ai anchor( col :  8 row : 9 ) score : 2 new tiles : i    Heuristic : -14.5
word : ad anchor( col :  8 row : 9 ) score : 3 new tiles : d    Heuristic : -11
word : pi anchor( col :  8 row : 10 ) score : 4 new tiles : i    Heuristic : -12.5
word : hi anchor( col :  7 row : 3 ) score : 9 new tiles : h    Heuristic : 0
word : pi anchor( col :  7 row : 3 ) score : 7 new tiles : p    Heuristic : -4
word : ai anchor( col :  7 row : 3 ) score : 3 new tiles : a    Heuristic : -13.5
word : vid anchor( col :  6 row : 4 ) score : 7 new tiles : v    Heuristic : 0
word : hid anchor( col :  6 row : 4 ) score : 7 new tiles : h    Heuristic : -2
